type,stem,options,answer,knowledge,analysis
选择,Which of the following is a positive statement?,"A. Tax should be used to help the poor.
B. Technical change is a bad thing because it puts some people out of work.
C. More should be done to reduce unemployment.
D. The government is more concerned with inflation than unemployment.",D,"Positive vs normative statements, Objective vs subjective economic statements",
选择,Which of the following is a normative statement?,"A. An increase in the money supply will reduce inflation.
B. Inflation is a monetary phenomenon.
C. High income tax rates discourage effort.
D. Tax levels should be reduced.",D,"Normative statements, Value judgments in economics",
选择,Which statement about exogenous variables is correct?,"A. An exogenous variable is a variable that is explored within a theory.
B. An exogenous variable influences endogenous variables but is itself determined by factors outside the theory.
C. An exogenous variable is influenced by endogenous variables.
D. An exogenous variable is a constant within a theory.",B,"Exogenous vs endogenous variables, Economic model specification",
选择,Which of the following would not be among the assumptions behind a theory?,"A. motive
B. physical relationships
C. conditions of application
D. predictions",D,"Theory assumptions, Role of predictions in models",
选择,"The price of coffee in the base year is 146.7 cents. If the price this year is 126.4 cents, what is this year's coffee price index number?","A. 86.2
B. 116.1
C. 20.3 cents
D. 108.6",A,"Price index calculation, Base-year index methodology",
选择,"If the price of cocoa in the base year was £2.50, what is the current index number if its price this year is £3.50?","A. £1.00
B. 140
C. 1.6
D. 71.4",B,"Index number computation, Percentage change from base",
选择,Which statement is correct?,"A. A functional relationship cannot be expressed using a schedule.
B. An algebraic statement should not be used to express a functional relationship.
C. A geometrical statement is not used to express a functional relationship.
D. None of the above statements is correct.",D,"Functional relationships, Forms of economic representation",
选择,The equation $C = \mathrm{f}(y)$ means that,"A. $y$ is a function of $C$.
B. $y$ and $f$ are a function of $C$.
C. $C$ is a function of $y$.
D. $C$ is a function of both $y$ and f.",C,"Function notation, Dependent vs independent variables",
选择,Which of the following statements is not correct?,"A. The slope of a straight line shows how fast one variable is changing as the other variable changes.
B. The slope of a straight line is defined as the amount of change in the variable measured on the vertical or $y$ axis per unit change in the variable measured on the horizontal or $x$ axis.
C. The slope of a straight line shows the marginal effect of a one-unit increase.
D. The slope of a straight line is defined as the amount of change in the variable measured on the horizontal or $x$ axis per unit change in the variable measured on the vertical or $y$ axis.",D,"Slope definition, Graphical interpretation of linear functions",
选择,"A £1 increase in spending yields two-thirds of a tonne of abatement when pollution is 5,000 tonnes, but only one-quarter of a tonne of abatement when pollution is 2,500 tonnes. This relationship is","A. linear.
B. non-linear.
C. both linear and non-linear.
D. neither linear nor non-linear.",B,"Linear vs non-linear relationships, Diminishing returns",
选择,"When abatement expenditure rises from £10,000 to £11,500, pollution falls from 10,000 tonnes to 9,000 tonnes. Which of the following statements is correct?","A. There has been a marginal increase in pollution of 1,500 tonnes.
B. There has been a marginal increase in pollution of 11.5%.
C. There has been a marginal decrease in pollution of 11%.
D. There has been a marginal decrease in pollution of 1000 tonnes.",D,"Marginal change, Percentage vs absolute change",
选择,"A curve rises to a maximum and then falls. At the turning point,","A. the $x$ variable shows large responses to small changes in the $y$ variable.
B. the slope of the tangent is always negative.
C. the slope of the tangent is always positive.
D. the slope of the tangent is always zero.",D,"Turning points, Slope of tangent at maximum",
选择,Which of the following statements is incorrect?,"A. 'Marginal' means on the margin or border.
B. 'Marginal' refers to what will happen when there is a small change from the present position.
C. The change in $Y$ when $X$ is changed by a small amount is referred to as 'the marginal value of $Y$.
D. At the marginal value, the slope of the tangent is always zero.",D,"Marginal concepts, Slope interpretation",
选择,Here are two statements. (i) You may calculate a marginal value by taking the ratio of the change in $Y$ to the change in $X$ (i.e. $\Delta Y / \Delta X$) between any two relevant points. (ii) You may calculate a marginal value by using differential calculus.,"A. Both of these statements are incorrect.
B. Both of these statements are correct.
C. Only (i) is correct.
D. Only (ii) is correct.",B,"Marginal calculation methods, Discrete vs continuous approaches",
选择,Which of the following conclusions is incorrect about the function $Y = \mathrm{f}(X)$?,"A. The marginal value of $Y$ at some initial value of $X$ is the rate of change of $Y$ per unit change in $X$, as $X$ changes from its initial value.
B. The marginal value is given by the slope of the tangent to the curve graphing the function at the point corresponding to the initial value of $X$.
C. The incremental ratio $\Delta Y / \Delta X$ measures the average change in $Y$ per unit change in $X$ over a range of the function starting from an initial value of $X$.
D. As the range of measurements of the incremental ratio is reduced, the value of the incremental ratio gets further from the marginal value of $Y$.",D,"Marginal vs incremental ratio, Convergence to derivative",
选择,"Which of the following statements is not a meaning of 'model', as the word is used by economists?","A. A precise realization of a general theory, with a specific numerical relationship in place of each general relationship posited by the theory.
B. An application of a general theory to a specific case.
C. An untested hypothesis of a general theory.
D. A simplified set of relationships designed to study one specific force in isolation.",C,"Economic models, Definitions and purposes",
选择,Which statement is correct about graphing economic data?,"A. Cross-section graphs show observations taken at different times.
B. Time-series graphs show observations on two variables taken over time.
C. Scatter diagrams show different points, each one of which shows observations on two different variables.
D. None of the above statements is correct.",C,"Types of economic graphs, Cross-section, time-series, scatter plots",
选择,A graph of two variables,"A. has a negative slope when both variables decrease.
B. has a negative slope when both variables increase.
C. has a negative slope when one variable decreases as the other increases.
D. has a negative slope when one variable disagrees with the other.",C,"Negative slope definition, Inverse relationships",
选择,"When we say that the rate of increase in house prices is falling, we mean that","A. house prices are rising.
B. house prices are falling.
C. we do not know what is happening to house prices.
D. house prices were falling faster recently.",A,"Decelerating growth, Second derivative interpretation",
选择,"At the minimum point of a curve which falls and then rises, the tangent","A. has a declining slope.
B. has a negative slope.
C. has a slope of zero.
D. has a positive slope.",C,"Minimum point condition, Slope of tangent",
选择,"If 1990 is the base year for gold prices and the price of gold in 1990 was US $363, the index number for 1995 when the gold price was US$ 386 is","A. 123.
B. 106.3.
C. 112.6.",B,"Index number calculation, Base-year normalization",
选择,d) 94.,,94,"Numerical reasoning, Basic arithmetic",
选择,Karl Marx argued that society should have,"a) a free-market economy.
b) a centrally planned economy.
c) a traditional market economy.
d) a mixed economy.",B,"Economic systems, Karl Marx's economic philosophy",
选择,The four main categories of economic resources are,"a) land, labour, money, and intelligence.
b) labour, money, entrepreneurship, and factories.
c) labour, intelligence, capital, and entrepreneurship.
d) land, labour, capital and entrepreneurship.",D,Factors of production,
选择,Into which of the following categories do human resources such as mental and physical attributes fall?,"a) labour
b) capital
c) intelligence
d) entrepreneurship",A,Labour as a factor of production,
选择,Minerals are categorized as,"a) labour.
b) capital.
c) money.
d) land.",D,Land as a factor of production,
选择,A factory is,"a) land.
b) labour.
c) capital.
d) entrepreneurship.",C,Capital as a factor of production,
选择,Which of the following is a good?,"a) a haircut
b) a mobile phone bill
c) a motorbike
d) a university degree",C,Goods vs services,
选择,Which of the following is a service?,"a) a car
b) a watch
c) a bag
d) insurance",D,Services vs goods,
选择,Anyone who makes goods and services is called,"a) a consumer.
b) an inventor.
c) a creator.
d) a producer.",D,Role of producers,
选择,Using goods and services to satisfy wants is called,"a) consumption.
b) production.
c) combustion.
d) fusion.",A,Definition of consumption,
选择,Which of the following define opportunity cost?,"a) A measure in money terms of the alternatives given up.
b) A measure of gain expressed as alternatives given up.
c) A measure of costs expressed as alternatives given up.
d) A measure of gain in money terms.",C,Opportunity cost definition,
选择,Which of the points shown in Figure 1 are not feasible?,"a) B and C
b) A and B
c) A and D
d) C and D",C,Production possibility frontier feasibility,
选择,Which of the points shown in Figure 1 are efficient?,"a) A and B
b) B and C
c) C and D
d) A and D",B,Production possibility frontier efficiency,
选择,Which point shown in Figure 2 indicates an efficient use of resources after an economy has grown?,"a) A
b) B
c) C
d) D",A,Economic growth and PPF,
选择,"As we move from left to right in Figure 1, the slope of the production-possibility boundary","a) becomes steeper.
b) becomes flatter.
c) turns a corner.
d) has a decreasing angle.",A,PPF slope and opportunity cost,
选择,As we move from left to right in the figures above,"a) the opportunity cost of $X$ relative to $Y$ increases as more of $X$ is given up to get $X$.
b) the opportunity cost of $Y$ relative to $X$ increases as more of $Y$ is given up to get more $X$.
c) nothing happens to opportunity cost.
d) the opportunity cost of $Y$ relative to $X$ decreases as less of $Y$ is given up to get more $X$.",B,Increasing opportunity cost,
选择,Economists refer to individuals who try to do as well as possible for themselves as,"a) minimizers.
b) selfish.
c) clever.
d) maximizers.",D,Economic maximization,
选择,Individuals seek to maximise,"a) misery.
b) well being.
c) intelligence.
d) profits.",B,Utility maximization,
选择,Firms attempt to maximise,"a) well being.
b) production.
c) profits.
d) losses.",C,Profit maximization,
选择,In the 1930s Russia moved further towards,"a) a command economy.
b) a mixed economy.
c) a pure market economy.
d) a traditional economy.",A,Command economy history,
选择,Which of the following is not a flow variable?,"A. A university lecturer's salary.
B. The output of a power station.
C. The number of houses in London.
D. The number of houses built in London this year.",C,"Flow vs stock variables, Definition of flow variables",
选择,Demand and supply analysis predicts that a rise in the price of cameras will,"A. raise both the equilibrium price of films and the equilibrium quantity of films sold.
B. reduce both the equilibrium price of films and the equilibrium quantity of films sold.
C. raise the equilibrium price of films and reduce the equilibrium quantity of films sold.
D. reduce the equilibrium price of films and raise the equilibrium quantity of films sold.",B,"Complementary goods, Cross-price elasticity, Effect of price change in complements",
选择,Which of the following is not a determinant of an individual's demand for a product?,"A. The individual's income.
B. The price of the product.
C. The marginal cost of the product.
D. The individual's wealth.",C,"Determinants of demand, Marginal cost vs demand factors",
选择,The assumption of ceteris paribus means,"A. other things being equal.
B. other things being considered.
C. all things considered.
D. among other things.",A,"Ceteris paribus definition, Use in economic models",
选择,"If the price of a computer falls from £999 to £899 during a period when the general price level rose by 3 per cent, then the relative price of the computer has fallen by","A. £100.
B. 7.3 per cent.
C. 10 per cent.
D. 12.6 per cent.",D,"Relative price calculation, Nominal vs real price",
选择,The market demand curve for a normal good or service is,"A. the average consumer's demand curve.
B. the vertical sum of individual consumers' demand curves.
C. the horizontal sum of individual consumers' demand curves.
D. the area under an individual consumer's demand curve.",C,"Aggregation of individual demand curves, Horizontal summation",
选择,Consider the demand curve for cinema tickets. The release of the latest Harry Potter film will cause,"A. a shift in the demand curve.
B. a move along the demand curve.
C. both a shift in the demand curve and a move along it.
D. none of the above.",A,"Demand shifters vs movements along curve, Effect of tastes/preferences",
选择,A rise in consumers' incomes will cause the demand curve for an inferior good to,"A. become steeper.
B. become shallower.
C. shift to the right.
D. shift to the left.",D,"Inferior goods, Income elasticity of demand",
选择,A rise in the price of takeaway kebabs will cause the demand curve for takeaway pizzas to,"A. become steeper.
B. remain unchanged.
C. shift to the right.
D. shift to the left.",C,"Substitute goods, Cross-price elasticity",
选择,A decrease in supply for a normal good will,"A. raise both the equilibrium price and equilibrium quantity.
B. reduce both the equilibrium price and equilibrium quantity.
C. raise equilibrium price and reduce equilibrium quantity.
D. reduce equilibrium price and raise equilibrium quantity.",C,"Supply shifts, Equilibrium adjustment",
选择,Which of the following is not a determinant of the supply curve for a product?,"A. Consumers' incomes.
B. The price of the product.
C. The prices of inputs to the product.
D. The state of technology.",A,"Determinants of supply, Demand vs supply factors",
选择,At the point where a downward-sloping demand curve and an upward-sloping supply curve intersect,"A. there is excess demand.
B. there is excess supply.
C. the market needs to adjust to reach equilibrium.
D. none of the above is true.",D,"Market equilibrium, Intersection of supply and demand",
选择,The demand curve for domestic gas in the UK in the winter will —— relative to the demand curve in the summer.,"A. be steeper
B. be further to the right
C. be further to the left
D. not change",B,"Seasonal demand shifts, Normal good in cold weather",
选择,A demand curve is normally drawn with,"A. price on the vertical axis and income on the horizontal axis.
B. price on the vertical axis and quantity on the horizontal axis.
C. quantity on the vertical axis and income on the horizontal axis.
D. quantity on the vertical axis and price on the horizontal axis.",B,"Standard demand curve convention, Axes orientation",
选择,The 'law of price adjustment' says that when —— exceeds —— then market price will ——.,"A. demand, supply, fall
B. demand, supply, rise
C. supply, demand, rise
D. both (a) and (c)",B,"Law of price adjustment, Excess demand and price movement",
选择,A market equilibrium where a downward-sloping demand curve and an upward-sloping supply intersect at a positive price and quantity,"A. will never be stable.
B. will normally be unstable.
C. will always be stable.
D. will never exist.",C,"Stability of equilibrium, Standard supply-demand intersection",
选择,"If the price of a CD rises from £9.99 to £10.99 during a period when the general price level rose by 3 per cent, then the relative price of the CD has risen by","A. £1.
B. 3 per cent.
C. 6.8 per cent.
D. 10 per cent.",C,"Relative price change calculation, Adjusting for inflation",
选择,Consider the demand and supply curves for cinema tickets. Which of the following would be the result of a rise in the price of cinema tickets?,"A. A shift in the demand curve.
B. A move along the demand curve.
C. Both a shift in the demand curve and a move along it.
D. A shift in the supply curve.",B,"Price change causing movement along curve, Law of demand",
选择,An increase in demand for a normal good will,"A. raise both the equilibrium price and equilibrium quantity.
B. reduce both the equilibrium price and equilibrium quantity.
C. raise equilibrium price and reduce equilibrium quantity.
D. reduce equilibrium price and raise equilibrium quantity.",A,"Demand shifts for normal goods, Equilibrium outcomes",
选择,"In the UK it is now fashionable to have uncovered wood floors instead of carpets. In these circumstances, demand and supply analysis predicts that a rise in the price of wood flooring will","A. raise both the equilibrium price of carpets and the equilibrium quantity of carpets sold.
B. reduce both the equilibrium price of carpets and the equilibrium quantity of carpets sold.
C. raise the equilibrium price of carpets and reduce the equilibrium quantity of carpets sold.
D. reduce the equilibrium price of carpets and raise the equilibrium quantity of carpets sold.",A,"Substitute goods, Cross-price effects on related markets",
选择,A fall in the price of steel will cause the supply curve for motor vehicles to,"A. become steeper.
B. become shallower.
C. shift to the right.
D. shift to the left.",C,"Input prices and supply, Cost reduction shifts supply",
选择,An 'administered price' is one that is,"A. set by the government.
B. set by a supplier who then sees what quantity is demanded at that price.
C. set by a supplier who then negotiates with individual purchasers.
D. none of the above.",B,"Administered price definition, Price-setting behavior",
选择,Which of the following pairs of markets is linked?,"A. Bus tickets and paving stones.
B. Public transport in London and Miami.
C. Wheat in the European Union and the USA.
D. None of the above.",D,"Market linkage, Absence of economic linkage in listed pairs",
选择,A redistribution of income from the very rich to the very poor would be likely to,"A. shift the demand curve for meat to the left.
B. have no effect on the demand curve for meat.
C. make the demand curve for meat steeper.
D. shift the demand curve for meat to the right.",D,"Income redistribution effects, Normal good demand shifts",
选择,A health warning on the dangers of eating red meat would,"A. shift the demand curves for both beef and chicken to the left.
B. shift the demand curve for beef to the left and the demand curve for chicken to the right.
C. shift the demand curve for beef to the right and the demand curve for chicken to the left.
D. shift the demand curves for both beef and chicken to the right.",B,"Taste changes and demand, Substitute goods (beef vs chicken)",
选择,The price of coffee beans fell to an historic low in late 2001 and early 2002 because,"a) the demand for coffee beans was greater than the supply of coffee beans.
b) the supply of coffee beans was greater than the demand for coffee beans.
c) demand increased faster than the supply of coffee beans increased.
d) the crop of coffee beans was poor.",B,"Supply and demand imbalance, Market price determination",
选择,When income elasticity is very small,"a) quantity demanded does not change when income changes.
b) quantity demanded rises at the same rate as income.
c) quantity demanded rises at a faster rate than income.
d) quantity demanded rises at a slower rate than income.",D,"Income elasticity of demand, Normal vs inferior goods",
选择,A voluntary market transaction requires,"a) willing buyers.
b) willing sellers.
c) both willing buyers and willing sellers.
d) government intervention to determine prices.",C,"Voluntary exchange, Market participation",
选择,"The UK government abolished admission charges to many museums in November 2001, which had the desired effect of increasing the number of museum visits. The price elasticity of demand, in this case, is given by","a) the percentage change in price divided by the percentage change in quantity demanded of cinema visits.
b) the percentage change in price divided by the percentage change in quantity demanded of museum visits.
c) the percentage change in quantity demanded divided by the percentage change in price of cinema visits.
d) the percentage change in quantity demanded divided by the percentage change in the price of museum visits.",D,"Price elasticity of demand formula, Museum admission policy",
选择,"The Museum of London had an 88 per cent increase in the number of people coming through the door when all charges were removed in November 2001. Given that the price of entry had been £11 per person, the price elasticity of demand for visits to the Museum of London was","a) -0.43.
b) -0.44.
c) -0.40.
d) - 0.88.",C,"Calculating price elasticity, Percentage change interpretation",
选择,"For coffee growers, really low prices","a) are desirable because they can sell all the coffee they produce.
b) undesirable because regular consumers of coffee will choose to drink tea.
c) undesirable because their income is likely to fall.
d) undesirable because their income is likely to increase.",C,"Producer revenue, Price and income relationship",
选择,"If a 20 per cent reduction in the price of Hello magazine leads to a 6 per cent increase in its sales, the price elasticity of demand must be","a) -0.55.
b) 0.55.
c) -0.33.
d) none of the above.",C,"Price elasticity calculation, Inelastic demand",
选择,"If a 20 per cent fall in the price of Hello magazine coincides with a 4 per cent fall in the sales of OK! magazine, then","a) the cross-elasticity of demand is 0.20.
b) the price elasticity of demand is 0.20.
c) the cross-elasticity of demand is - 0.20.
d) the price elasticity of demand is - 0.20.",A,"Cross-price elasticity, Substitute goods",
选择,"Where a 'free good' such as a road is provided by the government, a more efficient use of the good would be achieved by","a) pricing—people economise on the use of the scarce resource, so those who value it most highly will be its most frequent users.
b) rationing—shop staff are able to sell the limited goods to their preferred customers.
c) pricing—people waste the scarce resource, so those who value it least will be its most frequent users.
d) rationing—the government is in the best position to determine who should have the good.",A,"Efficient resource allocation, Pricing vs rationing",
选择,Which of the following possible government actions would not influence the price at which a good is sold?,"a) taxing production
b) subsidising consumption
c) imposing quality standards
d) reshuffling the ministerial team",D,"Government intervention, Price influence factors",
选择,Official price controls are the result of,"a) measures imposed by producer groups.
b) market forces.
c) legislation to regulate the price of a good.
d) measures imposed by consumer groups.",C,"Price controls, Legislative intervention",
选择,"If demand for all cross-Channel journeys were unchanged despite the opening of the Channel Tunnel, then, in the market for all cross-Channel journeys, the equilibrium price","a) would have increased.
b) would not have changed.
c) would have decreased.
d) would have become more unstable as time passed.",C,"Market equilibrium, Supply shift with constant demand",
选择,The opening of the Channel Tunnel,"a) led to an increase in the demand for non-tunnel journeys.
b) led to a decrease in the price of non-tunnel cross-Channel journeys because the supply of cross-Channel journeys had increased.
c) led to a decrease in the price of non-tunnel cross-Channel journeys because the demand for non-tunnel cross-Channel journeys had decreased.
d) led to an increase in the price of non-tunnel cross-Channel journeys because the demand for cross-Channel journeys was unchanged.",C,"Competitive markets, Demand substitution",
选择,Markets in which goods are sold illegally at prices that violate legal restrictions are known as black markets. They occur as a result of,"a) a binding price ceiling, with or without rationing.
b) a binding price floor, with or without rationing.
c) street trading.
d) a binding price floor, without rationing.",A,"Black markets, Price ceiling effects",
